Exercise,Muscle Groups
Ab Crunch,Abs
Flutter Kicks,Abs
Sit-Up,Abs
Plank,Abs
Lying Leg Raise,Abs
Dumbbell Wrist Flexion,Arms
Reverse Barbell Curls,Arms
Pull Up,Back
Lat Pull-Down,Back
Machine Row,Back
Dumbbell Row,Back
Dumbbell Shrug,Back
Machine Rear Delt (Reverse) Fly,Back
Seated Cable Row (V Handle),Back
MTS Row,Back
MTS Front Pull-Down,Back
Barbell T-Bar Row,Back
Underhand Barbell Row,Back
Reverse-Grip Lat Pull-Down,Back
Neck Pull-Down,Back
Machine Lat Pull-Down,Back
Cable One-Arm Row (Seated),Back
Chin Up,Biceps
Bicep Curl,Biceps
Hammer Curl,Biceps
Ez Barbell Bicep Curl,Biceps
Cable Bar Biceps Curl,Biceps
Dumbbell Incline Bench Biceps Curl,Biceps
Machine Preacher Curl,Biceps
Machine Calf Raise,Calves
Dumbbell Bench Press,Chest
Dumbbell Incline Bench Press,Chest
Push Up,Chest
Machine Incline Chest Press,Chest
Machine Butterfly,Chest
Barbell Flat Bench Press,Chest
Barbell Incline Bench Press,Chest
Parallette Push-Up,Chest
Leg Curl,Glutes_Hamstrings
Barbell Hip Thrust,Glutes_Hamstrings
Note,Note
Leg Extension,Quadriceps
Leg Press,Quadriceps
Smith Machine Squat,Quadriceps
Barbell Squat,Quadriceps
Dumbbell Bulgarian Split-Squat,Quadriceps
Squat,Quadriceps
Lunges,Quadriceps
Machine Seated Leg Press,Quadriceps
Bulgarian Split-Squat,Quadriceps
Dumbbell Shoulder Press,Shoulders
Military (Bbl) Shoulder Press,Shoulders
Lat Raise,Shoulders
Front Raise,Shoulders
Machine Shoulder Press,Shoulders
Dips,Triceps
Seated Dip Machine,Triceps
Dumbbell Overhead Triceps Extension,Triceps
Cable Overhead Triceps Extension,Triceps
Cable Straight-Bar Triceps Push-Down,Triceps
Single Arm Tricep Pushdown,Triceps
EZ Bar pushdown,Triceps
Smith Machine Skull Crushers,Triceps
Bodyweight,Weight
Underhand Barbell Rows,Back
Russian Twists,Core
Hanging Leg Raises,Core
Cable Crunches,Core
Bicycle Crunches,Core
,
Treadmill Running,Cardio
Stationary Bike,Cardio
Elliptical Trainer,Cardio
Stair Climber,Cardio
Rowing Machine,Cardio
Clean and Jerk,Full Body/Compound
Snatch,Full Body/Compound
Kettlebell Swings,Full Body/Compound
Burpees,Full Body/Compound
Mountain Climbers,Full Body/Compound
